rank,frame_path,grain_score,manual_keep,notes
293,data\selected_frames\nosferatu_non_title_cards\nosferatu_000074.png,0.00359550048597157,,
294,data\selected_frames\nosferatu_non_title_cards\nosferatu_000166.png,0.003594042733311653,,
295,data\selected_frames\nosferatu_non_title_cards\nosferatu_000093.png,0.00357195851393044,,
296,data\selected_frames\nosferatu_non_title_cards\nosferatu_000255.png,0.003559485077857971,,
297,data\selected_frames\nosferatu_non_title_cards\nosferatu_000259.png,0.0035554671194404364,,
298,data\selected_frames\nosferatu_non_title_cards\nosferatu_000257.png,0.0035541392862796783,,
299,data\selected_frames\nosferatu_non_title_cards\nosferatu_000567.png,0.0035405338276177645,,
300,data\selected_frames\nosferatu_non_title_cards\nosferatu_000451.png,0.003540230682119727,,
301,data\selected_frames\nosferatu_non_title_cards\nosferatu_000155.png,0.003536524251103401,,
302,data\selected_frames\nosferatu_non_title_cards\nosferatu_000106.png,0.003520299680531025,,
303,data\selected_frames\nosferatu_non_title_cards\nosferatu_000107.png,0.0034866349305957556,,
304,data\selected_frames\nosferatu_non_title_cards\nosferatu_000361.png,0.0034823461901396513,,
305,data\selected_frames\nosferatu_non_title_cards\nosferatu_000194.png,0.003474239958450198,,
306,data\selected_frames\nosferatu_non_title_cards\nosferatu_000360.png,0.003454415127635002,,
